original_author,fict_bio,pred_author,match
Alissa York,"You were born in 1972 in Medicine Hat, Alberta, and came of age on the Prairies before settling in Toronto. After working as a bookseller and editor, you began publishing stories in The Malahat Review, Grain, and The Fiddlehead, then moved to the novel. Your fiction is marked by lucid, tactile prose; a deep engagement with animal life and landscape; and patient, historically informed storytelling that traces fragile communities at the city’s edges. You have received the CBC Literary Award for short story and the Danuta Gleed Literary Award for your debut collection. You continue to write and teach, balancing meticulous research with an unwavering attention to compassion.",Alissa York,1
Aravind Adiga,"You were born in 1975 in Kochi, India. After schooling in Kerala and Mumbai, you studied economics at Columbia University and completed a master’s at Cambridge. You worked as a reporter and critic for The Economist and Time, covering business and politics across South Asia, before returning to India to write fiction. Your prose blends reportage with unsentimental social scrutiny, dark wit, and propulsive first-person narration, probing ambition, inequality, and the moral costs of rapid growth. Your debut novel, published in 2007, drew wide attention and won the Commonwealth Writers’ Prize for Best First Book in 2008.",Aravind Adiga,1
Kate Christensen,"You were born in 1964 in Santa Cruz, California. Raised in Albuquerque and coastal Maine, you studied literature at Brown University and earned an MFA from the Iowa Writers’ Workshop before settling in Brooklyn. After early work as an editor and reviewer, you built a career as a novelist and essayist, publishing urban comedies of manners distinguished by sharp psychological acuity, sensual attention to food and art, and women’s voices navigating friendship, work, and desire. Your essays have appeared in The New York Times and Food & Wine. Honors include a 2004 Whiting Writers’ Award and a 2008 Guggenheim Fellowship.",Kate Christensen,1
Anthony De Sa,"Born in 1969 in Mississauga, Ontario, you grew up between a Portuguese household and Toronto’s west-end streets. After studying literature at the University of Toronto and training as a teacher, you taught in public schools while writing fiction that maps immigrant memory onto the city’s history. Your work is marked by spare, lyrical prose, moral clarity, and close attention to working-class lives from Lisbon to Little Portugal. Early stories and a debut collection brought national attention, leading to festival invitations and translation abroad. You have worked from community archives and oral histories, and your book earned the Toronto Book Award.",Anthony De Sa,1
Annie Dillard,"You were born in 1947 in Cleveland, Ohio. After a childhood shaped by church and walks along Lake Erie, you studied English at a Virginia liberal-arts college and completed graduate work in religion. Early essays in Harper’s and The Atlantic led to books that braid field observation with metaphysical inquiry and precise, lyric prose. You have taught at small colleges and kept a modest public profile. Your work dwells on patience, the moral weight of seeing, and the strangeness of the ordinary. You have received a National Book Critics Circle Award. You now divide your time between Vermont and Washington State.",Annie Dillard,1
Marina Endicott,"Born in 1959 in Victoria, British Columbia, you grew up between the coast and the Maritimes before settling on the Prairies. After years in theatre: acting, directing, and stage-managing, and a period producing arts features for CBC Radio, you turned to fiction. Your novels and stories examine moral responsibility within families and small communities, marrying precise observation with understated wit. Music, performance, and the rhythms of work recur in your settings, often Saskatoon and rural Saskatchewan, with forays to Atlantic Canada. You teach and serve as writer-in-residence across the West. Your work has received the Rogers Writers’ Trust Fiction Prize and the Georges Bugnet Award for Fiction.",Lynn Coady,0
Amitav Ghosh,"You were born in 1957 in Cuttack, India. Trained in history at Presidency College and in anthropology at Jawaharlal Nehru University and SOAS, you moved between journalism and academia, later teaching in New York. Your fiction, written in English, fuses archival depth with lyrical clarity, tracking the entanglements of empire, migration, and commerce across the Indian Ocean. Polyphonic structures, multilingual cadences, and scrupulous attention to place distinguish your work, as do your essays on history and memory. Your books have earned international readership, and you have received the Commonwealth Writers’ Prize and the Padma Shri. You divide your time between India and the United States.",Amitav Ghosh,1
Linda Grant,"You were born in 1953 in Manchester to Jewish immigrant parents. After studying English at a redbrick university, you became a reporter for national newspapers, later a columnist and feature writer known for essays on clothes, urban life, and politics. Your novels, shaped by precise observation and a scrupulous moral intelligence, trace postwar migration, the residues of European catastrophe, and the private economies of memory; your non-fiction blends reportage with cultural history. You moved to London, dividing your time between journalism and fiction, and have read widely at festivals and taught occasional seminars. Your work has received the Costa Book Award for the Novel and the Jewish Quarterly–Wingate Prize.",Linda Grant,1
Aleksandar Hemon,"You were born in 1967 in Mostar, then Yugoslavia. After arriving in New York in 1992 for a temporary program, you remained as war consumed your city, learned English quickly, and began publishing short stories and essays. Your fiction, marked by inventive language, shifting perspectives, and an ethical attention to exile, memory, and historical violence, blurs reportage and imagination while sustaining dark, unsentimental humor. Across stories and a novel, you have earned a reputation for formal daring and moral clarity. Your work has received a Whiting Writers’ Award and an NEA Literature Fellowship, and continues to appear in leading American magazines and in translation abroad.",Aleksandar Hemon,1
Philip Hensher,"You were born in 1964 in Reading, Berkshire. After studying English at Oxford and completing doctoral work on eighteenth-century prose, you moved from academia into journalism and fiction, becoming a regular critic for the Guardian while lecturing in creative writing at the University of East Anglia. Your novels chart the textures of British life with meticulous social observation and broad political reach, alternating between intimate domestic canvases and historically expansive narratives set beyond Britain. A clear, exacting style and architectural plotting distinguish your work. You have received the Betty Trask Award and the Encore Award.",Adam Mars-Jones,0
Rachel Kushner,"You were born in 1969 in Seattle, Washington, and grew up on the West Coast before moving to New York. After studying comparative literature at UC Santa Cruz and cultural theory at New York University, you worked in the art world, editing and writing for publications such as Artforum and The Believer. Your fiction, grounded in rigorous research, traces the entanglement of political upheaval, avant-garde scenes, and global capital, often following women who navigate risk, velocity, and self-invention across continents. Your debut novel, published in 2009, earned the Whiting Writers’ Award and was a finalist for the PEN/Hemingway Award. You live in Brooklyn, where you continue to write criticism and fiction.",Rachel Kushner,1
David Leavitt,"Born in 1962 in New Haven, Connecticut, you came of age on the East Coast and studied literature before emerging in the early 1980s with short stories in major magazines. Your subsequent novels and collections examine family secrecy, sexuality, and moral ambiguity with spare, exacting prose and a classical sense of structure. Moving between American suburbia and Europe, you cultivate intimate portraits of intellectual life and private longing. You have taught in university writing programs and split your time between New York and Rome. Among your honors are a Whiting Writers' Award and a Lambda Literary Award.",Sigrid Nunez,0
Peter Matthiessen,"You were born in 1929 in Boston, Massachusetts. After college and a stint in the Navy, you drifted to Paris, where you helped launch a little magazine that drew writers across the Atlantic. Returning to the United States, you worked as a fisherman and field naturalist, then turned to books that braid reportage, travel, and a spare, meditative prose. Your journeys—from the Himalaya to the Everglades and remote coasts—frame inquiries into wilderness, justice, and the costs of ambition. A longtime Zen practitioner, you write with austere clarity and moral gravity. Your work has earned the National Book Award and the John Burroughs Medal.",Peter Matthiessen,1
Ron Rash,"You were born in 1956 in Johnson City, Tennessee, and raised in the Blue Ridge foothills. After earning degrees at East Tennessee State University and the University of North Carolina at Greensboro, you taught literature at Appalachian State University, writing across poetry, stories, and novels. Your work is distinguished by spare lyricism, historical resonance, and an unflinching gaze at the Appalachian South—its rivers and mill towns, the legacies of logging and textiles, and the stubborn bonds of family. You have been honored with an O. Henry Prize and the Thomas Wolfe Memorial Literary Award, and your books explore hard reckonings tempered by moments of hard-won grace.",Ron Rash,1
Nino Ricci,"You were born in 1961 in Windsor, Ontario, to Italian immigrants. After studying literature at the University of Toronto and completing graduate work in creative writing at Concordia University, you lived for periods in southern Italy, experiences that shaped your fiction. Your early novels formed a loose trilogy tracing a family's passage from a Calabrian village to urban Canada, noted for restrained prose, moral nuance, and precise attention to faith, migration, and memory. You have taught writing and taken part in PEN Canada initiatives while remaining based in Toronto. Your debut won the Governor General’s Award for Fiction, and a later book received the Rogers Writers’ Trust Fiction Prize.",Nino Ricci,1
David Adam Richards,"You were born in 1951 in Bathurst, New Brunswick, and raised by the Nepisiguit River, where the mill’s whistle marked your early years. After a brief stay at the University of New Brunswick, you left to write full-time, publishing stories and novels that return to northern communities shaped by poverty, faith, and hard loyalty. Your prose is spare and exacting, driven by moral inquiry and a Catholic sensibility that resists sentimentality while refusing despair. You have written fiction and essays, championing those silenced by class and circumstance. Your work has received the Rogers Writers’ Trust Fiction Prize and the Thomas Head Raddall Atlantic Fiction Award.",David Adams Richards,1
Salvatore Scibona,"You were born in 1976 in Erie, Pennsylvania. After studying literature at Kenyon College and earning an MFA at Columbia, you spent seasons in Sicily and the American Midwest, then settled into a rhythm of teaching and writing, with residencies at MacDowell and Yaddo. Your debut novel, published in 2008, established your reputation for choral narratives, taut sentences, and moral gravity. Your work probes immigrant neighborhoods and postindustrial shorelines, tracing the long reach of loss across families and time. Stories in Harper’s and Tin House have broadened your readership. You have been honored with a Whiting Writers’ Award and an O. Henry Prize, recognitions that affirmed a patient, exacting craft.",Salvatore Scibona,1
Fred Stenson,"You were born in 1954 in Lethbridge, Alberta. After studies at the University of Alberta, you turned to documentary film and journalism, experience that grounds your fiction. Your novels trace the Canadian West through settlement and industry, attentive to the compromises of ambition, the pressures of land and weather, and family entanglements. Meticulous research, sweeping scenes, and plainspoken lyricism distinguish your style. Alongside your books, you have scripted films and mentored writers at The Banff Centre. Your work has received the Georges Bugnet Award for Fiction and the City of Calgary W.O. Mitchell Book Prize.",Fred Stenson,1
Mary Swan,"Born in 1961 in Kingston, Ontario, you studied history and worked as an archival researcher before turning to fiction. Your early short stories appeared in Canadian and American journals, and a novella earned you the O. Henry Prize. Your debut novel, widely praised, was shortlisted for the Governor General’s Award for Fiction. Your work is marked by precise, restrained prose, braided points of view, and a measured attention to the reverberations of war and family secrecy, often unfolding in small-town settings. You live in Ontario, where you continue to write and to mentor emerging writers.",Steven Heighton,0
Steve Toltz,"You were born in 1974 in Melbourne, Australia. After studying literature at the University of Melbourne, you worked as a copywriter and on film crews, living for periods in Sydney, London, and New York. Your debut novel appeared in 2008 to international attention, noted for its sprawling, comic-philosophical voice, dense digressions, and an unsentimental portrait of family, ambition, and civic misrule. Your prose blends mordant humor with moral inquiry and a ceaseless curiosity about failure and fate. The book was longlisted for the Man Booker Prize and won the UTS Glenda Adams Award for New Writing. You continue to write fiction and occasional screen material between Australia and the United States.",Steve Toltz,1
AS Byatt,"You were born in 1935 in Leeds, and educated at Newnham College, Cambridge, then at Oxford, where you completed postgraduate work in English literature. After lecturing at a London college, you turned fully to fiction and criticism, developing an erudite prose that interlaces myth, science, and art history with attentive readings of Victorian texts. Your novels often pair scholarly inquiry with intimate narratives of desire and discovery, while your essays examine the moral reach of the imagination. Over five decades you have published widely, balancing narrative ambition with intellectual precision. Your work has been recognized with the Whitbread Novel Award and the James Tait Black Memorial Prize.",A.S. Byatt,1
Sarah Shun-lien Bynum,"You were born in 1974 in Austin, Texas. Raised in Southern California, you studied literature at the University of California, Berkeley, and earned an MFA from the Iowa Writers’ Workshop. After early work in magazines, you turned to fiction, publishing a debut novel to wide notice and, later, a linked suite of stories. You teach creative writing at a small New England college. Your fiction draws on fairy-tale structures and classroom worlds to examine adolescence, uncertainty, and the porous boundary between imagination and ordinary life; your sentences are precise yet luminous, attentive to the quietly comic. Your honors include a Whiting Writers’ Award and a finalist citation for the PEN/Faulkner Award for Fiction.",Karen Russell,0
Bonnie Jo Campbell,"You were born in 1964 in Grand Rapids, Michigan, and raised on a small farm where chores and riverbanks shaped your sense of place. After studying mathematics at the University of Michigan, you worked a string of practical jobs and led long-distance bicycle trips before turning to fiction, earning an MFA and settling in the lower peninsula. Your stories and novels trace the hardscrabble lives of Midwestern workers and survivors, especially women, rendered with precise physical detail, moral clarity, and unsentimental compassion. Teaching intermittently, you publish in leading journals. Your work has received a Pushcart Prize and a Whiting Writers’ Award.",Bonnie Jo Campbell,1
Susan Choi,"You were born in 1970 in Evanston, Illinois, and raised in Texas after your family moved south. You studied literature at Harvard and completed an MFA at the University of Michigan, then worked as a researcher at Harper’s Magazine in New York before turning to fiction full-time. Across three novels, your work probes identity, secrecy, and institutional power, often situating private lives within charged political or academic settings. Your prose is exacting yet restless, favoring layered structures, shifting perspectives, and moral inquiry over easy resolution. You have received a Whiting Writers’ Award and a Guggenheim Fellowship, and you continue to teach and write in New York.",Nathan Englander,0
JM Coetzee,"Born in 1942 in Port Elizabeth, South Africa, you studied mathematics and English before completing a doctorate in linguistics in the United States. You taught in New York and later at a university in Cape Town, then resettled in Australia in the early 2000s, where you continue to write and teach. Your fiction—spare, exacting, and morally attentive—tests authority and complicity, setting private lives against historical pressure. Autobiographical narratives and essays probe language, cruelty, and the claims of conscience, with a sustained concern for animals and the limits of empathy. Your work has earned major recognition, including the Neustadt International Prize for Literature.",J.M. Coetzee,1
Michael Crummey,"You were born in 1967 in Grand Falls-Windsor, Newfoundland and Labrador. Raised on the northeast coast, you studied English at Memorial University and completed graduate work at Dalhousie before turning to writing full time. You began with poetry and short fiction rooted in outport life and Labrador histories, then moved to novels in the mid-2000s. Your work is marked by austere, lyrical prose, an exacting sense of place, and narratives that braid folklore with archival fact, tracing communities pressed by weather, faith, and trade. You teach across Atlantic Canada. Your books have received the Atlantic Poetry Prize and the Thomas Head Raddall Atlantic Fiction Prize.",Michael Crummey,1
Kim Echlin,"You were born in 1957 in Kingston, Ontario. After studies in comparative literature at McGill and a doctorate on oral storytelling at the University of British Columbia, you worked as a producer at CBC Radio and taught creative writing at Concordia. Your novels trace the crossings of love and history, marrying lyrical, economical prose with myth, music, and testimony. Fieldwork in Southeast Asia and the Balkans informs your portraits of political violence and its aftermath, while your translations and essays extend this conversation beyond fiction. You have received the Toronto Book Award and a CBC Literary Award, and your work is widely translated.",Madeleine Thien,0
Adam Foulds,"You were born in 1975 in Guildford, Surrey. After reading English at Cambridge, you completed a writing degree at Royal Holloway and began a career that moves between fiction and narrative poetry. Your early novel introduced your fascination with unsettled minds and unlikely communities; a subsequent long poem, set amid colonial turmoil, refined your austere lyricism and moral intensity. A later historical novel drew wide acclaim for its precise evocation of landscape and the inner weather of its characters. You are known for compressed, musical prose, careful research, and empathy without sentimentality. Your work has been recognized with the Somerset Maugham Award.",Fiona Mozley,0
Annabel Lyon,"You were born in 1972 in Kingston, Ontario, and grew up on the Pacific coast. After studying philosophy and music at the University of British Columbia, you turned to writing, publishing short fiction and essays before a breakout historical novel set in classical Greece. Your work is distinguished by economical prose, intellectual rigor, and a precise dramatization of mentorship, power, and moral choice, grounded in meticulous research. You teach and mentor emerging writers while continuing to contribute to Canadian journals. Your debut earned the Ethel Wilson Fiction Prize and the Commonwealth Writers’ Prize (Canada and Caribbean) for Best First Book, alongside shortlistings for major national honours.",Annabel Lyon,1
Linden MacIntyre,"You were born in 1944 in Bonavista, Newfoundland and Labrador. Raised in a coastal Catholic household and later in Cape Breton, you built a career in journalism before turning to fiction. After reporting for regional newspapers and CBC Radio, you became a familiar presence on national television, hosting a leading investigative current affairs program. Your fiction draws on Atlantic communities shaped by migration, labour, and the church, marked by spare, precise prose and moral inquiry sharpened by reporting. You balance skepticism with compassion, mapping the costs of secrecy and loyalty. Your work has earned the Rogers Writers’ Trust Fiction Prize and a Gemini Award, and you continue to write and report from Toronto and Nova Scotia.",Linden MacIntyre,1
Hilary Mantel,"You were born in 1953 in Stockport, England. Raised in a Catholic household, you studied history at the University of Manchester before working in a legal aid office and, later, as a literary critic. Years spent in Nigeria and Kuwait sharpened your sense of power, exile, and the fragility of social order. Your novels move between the contemporary and the rigorously reimagined past, favoring chambers over battlefields and the morally charged interiority of statesmen and strivers. An extended illness refined your attention to the body and will. A revisionist Tudor novel brought wide recognition, followed by essays and stories for national journals. Your honors include the James Tait Black Memorial Prize and the Somerset Maugham Award.",Hilary Mantel,1
Simon Mawer,"You were born in 1951 in Manchester, England. After studying biochemistry at the University of Cambridge, you taught biology in British and international schools, later spending long periods in Italy and Central Europe. Your fiction fuses genetics with twentieth-century history, noted for lucid, restrained prose, architectural motifs, and an unsentimental concern with moral choice, exile, and memory. You have published acclaimed novels and short stories and lecture on literature and science. Your work has been recognized with the McKitterick Prize and the James Tait Black Memorial Prize. You now divide your time between Rome and Prague, continuing to write.",Simon Mawer,1
Colin McAdam,"You were born in 1972 in Singapore to Canadian parents and spent your childhood in Europe and the Caribbean before settling in Canada. You studied literature at Queen’s University and completed graduate research at the University of Oxford, then worked in publishing while developing your first novel. A second book followed in 2009. Your fiction probes desire, class, and the tensions of institutional life, often through inventive points of view and exacting, musical prose. Based in Ottawa, you examine public and private power with restraint and moral clarity. Your work has earned the Ottawa Book Award and the Rogers Writers’ Trust Fiction Prize.","I cannot identify a real author who precisely matches all the details provided in this fictionalized biography. The combination of ""Born in 1972 in Singapore to Canadian parents,"" having studied at ""Queen’s University and completed graduate research at the University of Oxford,"" being ""Based in Ottawa,"" and having won ""the Ottawa Book Award and the Rogers Writers’ Trust Fiction Prize,"" appears to be a unique set of circumstances that does not correspond to any readily identifiable prominent Canadian author in public records.

It is possible that the ""fictionalized"" aspect of the biography involves one or more of these very specific details being altered, making a direct identification impossible through general search methods.

However, if forced to provide a name, and acknowledging the high degree of fictionalization implied, I cannot confidently guess.",0
Colum McCann,"You were born in 1966 in Cork, Ireland. You began as a young reporter for a national daily, then spent years traveling across Europe and the United States before settling in New York City in the mid-1990s. Your fiction, noted for lyrical compression and polyphonic structure, interlaces ordinary lives with public history, moving between Ireland, America, and Eastern Europe. You are drawn to voices at the margins and to the quiet hinge-moments that change a city’s weather. Several novels and story collections have secured international readership; you lecture widely and teach creative writing in New York. Honors include the PEN/Faulkner Award and the Rooney Prize for Irish Literature.",Colum McCann,1
Anne Michaels,"You were born in 1960 in Montreal, Quebec. Raised between languages and histories, you began as a poet in the 1980s, publishing widely and teaching creative writing at the University of Toronto. Your transition to fiction brought a first novel in the late 1990s and a second a decade later, each marked by painstaking research and a lyric attention to memory, exile, and the moral weight of history. Your sentences carry a poet’s compression; images return like recurring motifs in music. Landscape, architecture, and science anchor private grief. You have received the Griffin Poetry Prize and the Scotiabank Giller Prize, and your work is taught across Canada and abroad.",Dionne Brand,0
Daniyal Mueenuddin,"You were born in 1964 in Boston, Massachusetts, to a Pakistani father and an American mother, and spent childhood years between Lahore and a family farm in southern Punjab. Educated at Princeton and Harvard Law, you worked as a corporate lawyer in New York before returning to Pakistan to manage orchards and write. Your fiction, often set amid landowners, servants, and lawyers, is marked by spare, patient prose and an unsentimental eye for patronage and class, linking private fates to rural economies. Stories have appeared in the New Yorker and Granta, and your 2009 debut collection drew international notice. You have received a Whiting Writers’ Award and an O. Henry Prize.",Daniyal Mueenuddin,1
Alice Munro,"You were born in 1932 in Goderich, Ontario. After studying English at the University of Toronto, you left to marry and moved to Vancouver, British Columbia, working in a bookshop while raising a family. Returning later to southwestern Ontario, you built a career in short fiction, publishing in Canadian magazines and The New Yorker. Your stories, set largely in small towns and farm country, are marked by lucid understatement, shifting timelines, and an exacting moral intelligence, particularly in depicting the inner lives of women and the residue of memory. You have received the Scotiabank Giller Prize and remain devoted to the short story form.",Alice Munro,1
Joseph O'Neill,"You were born in 1966 in Galway, Ireland, to an Irish father and Turkish mother. Raised in Istanbul and The Hague, you studied law at Oxford and practiced as a barrister in London before relocating to New York. Your fiction and nonfiction follow migration, family history, and post-9/11 urban life; attentive to class and sport—especially football—as social grammar, your prose marries forensic clarity to lyrical restraint. After early novels and a memoir, a breakout work drew wide notice and won the James Tait Black Memorial Prize and the Kerry Group Irish Novel of the Year. You teach and publish essays in journals.",Joseph O'Neill,1
Richard Price,"You were born in 1951 in Jersey City, New Jersey. Raised in working‑class neighborhoods, you studied sociology at Rutgers before earning an MFA at New York University. Your early novels brought you rapid attention for unsentimental portraits of urban life, and your career expanded to screenwriting and consulting on acclaimed crime dramas for film and cable television. Your work is distinguished by exacting reportage, morally ambivalent characters, and dialogue that captures the cadences of Northeastern streets without resorting to caricature. You have taught occasional workshops, but your focus remains long-form fiction rooted in contemporary cities. Your honors include an Edgar Award and a Guggenheim Fellowship. You live in New York City.",Richard Price,1
Kate Pullinger,"You were born in 1962 in Vancouver, British Columbia. After relocating to London in the late 1980s, you built a career as a novelist and short-story writer while pioneering digital fiction that merges text, sound, and image. Your work often examines migration, intimacy, and class, moving between historical settings and contemporary urban life with restrained prose and careful attention to voice. You have taught creative writing at the University of East Anglia and collaborated with artists and programmers on networked narratives. Your books and digital projects have earned wide recognition, including the Commonwealth Writers’ Prize (Canada and the Caribbean) for Best Book.",Kate Pullinger,1
Sherman Alexie,"You were born in 1968 in Missoula, Montana, and grew up on the Flathead Reservation. A member of the Confederated Salish and Kootenai Tribes, you left to attend the University of Montana, later settling in Portland. Beginning as a poet, you expanded into short fiction and novels, bringing comic bite and moral gravity to stories that traverse reservation roadways and city streets. Your work is distinguished by rapid-fire dialogue, tender scrutiny of family bonds, and an unflinching view of history’s burdens on contemporary Native life. Widely taught and performed, you have received a Whiting Writers’ Award and been a PEN/Hemingway finalist.",Sherman Alexie,1
Sandra Birdsell,"You were born in 1944 in Dauphin, Manitoba, to a Mennonite mother and a Métis father. After years in Winnipeg and Regina, you turned from clerical and advertising work to fiction, building a career from short stories to acclaimed novels that map Prairie histories and the fractures of migration. Your prose is unsentimental yet lyrical, attentive to weather, memory, and the tenuous bonds of kin. You braid Mennonite remembrances with the public record—pogroms, displacement, floods—without sacrificing intimate character studies. Widely taught, you have mentored emerging writers across the Prairies. Your honors include the Marian Engel Award and the McNally Robinson Book of the Year.",Sandra Birdsell,1
Peter Carey,"You were born in 1946 in Ballarat, Victoria. After early work in advertising in Melbourne, you began publishing short fiction and moved into novels that reimagined Australia’s colonial past with exuberant wit and moral gravity. A period in London preceded your relocation to New York in the early 1990s, where you continue to write and teach in a graduate writing program. Your books are distinguished by agile, inventive structures, a satiric edge toward authority, and a voice that fuses vernacular energy with high-art play. Your international reputation rests on major prizes, including the Booker Prize and the Commonwealth Writers’ Prize.",Peter Carey,1
Emma Donoghue,"Born in 1970 in Cork, Ireland, you left for graduate study in English at Oxford before settling in Montréal in the late 1990s. Since your early twenties you have built a dual career as novelist and playwright, publishing fiction noted for rigorous historical research and for contemporary stories that probe family bonds, secrecy, and power. Your trademark is the charged intimacy of confined settings, rendered in precise, compassionate prose and grounded in meticulous archival work. Alongside essays and radio drama, your novels have earned a devoted readership and critical recognition, including the Stonewall Book Award and a Lambda Literary Award.",Emma Donoghue,1
Damon Galgut,"You were born in 1965 in Port Elizabeth, South Africa. Raised amid the last years of apartheid, you studied drama at the University of the Witwatersrand before turning to fiction and occasional playwriting. Publishing your first novel in your early twenties, you have since built a steady body of work marked by austere, lucid prose, moral unease, and the quiet pressure of history on intimate lives. Your narratives often trace travellers and exiles through South African landscapes and farther afield, attentive to shifting loyalties and the failures of empathy. Your fiction has received the Sunday Times Fiction Prize and the M-Net Literary Award.",Damon Galgut,1
Jaimy Gordon,"Born in 1945 in Washington, D.C., you came of age amid the ferment of postwar American letters. After a B.A. at Bard College and an M.A. at Johns Hopkins University, you built a career that paired demanding, language-driven novels with devoted teaching at Wayne State University. Your work, emerging in the 1970s and maturing across subsequent decades, is marked by baroque sentences, dark wit, and a compassionate gaze toward shabby, working-class worlds—carnivals, backstretch towns, and other provisional communities. You return obsessively to risk, desire, and stubborn dignity. Your honors include a National Endowment for the Arts Literature Fellowship and a Pushcart Prize.",Charles Baxter,0
Drew Hayden Taylor,"You were born in 1965 in Wikwemikong, Ontario. Raised in an Anishinaabe community, you developed a voice that merges sharp wit with measured social critique. After studying theatre and English in Toronto, you worked as a playwright, essayist, and novelist, writing for stage, television, and print while mentoring emerging Indigenous artists. Your work foregrounds contemporary First Nations life, cross-cultural encounter, and the tensions between community tradition and urban modernity, often using humor to reveal complex ethics. Your plays have toured nationally, your fiction is taught in universities, and you have received a Dora Mavor Moore Award and the Chalmers Canadian Play Award.",Drew Hayden Taylor,1
Howard Jacobson,"You were born in 1943 in Leeds, raised in a Jewish household attentive to comedy and argument. After reading English at Oxford and teaching in Australia and the Midlands, you settled in London as a novelist, essayist, and broadcaster. Your work fuses erudite wit with moral inquiry, anatomising desire, embarrassment, and the burdens of identity, and often satirises academic and media pretensions. Your prose is exacting, aphoristic, and steeped in literary history. Beyond fiction, you contribute a regular column to the Guardian and publish criticism. Among honours, you have won the Bollinger Everyman Wodehouse Prize and the James Tait Black Memorial Prize.",Howard Jacobson,1
Barbara Kingsolver,"You were born in 1957 in Roanoke, Virginia. Raised in the Blue Ridge, you trained as a biologist before turning to journalism and fiction. Field seasons in Mexico and the American Southwest sharpened your focus on ecological interdependence and social justice. Your novels and essays braid scientific clarity with intimate, multi-voiced storytelling, attentive to working-class lives, migration, land stewardship, and resilient communities. You have written widely for national magazines and championed local food and public literacy. Settled in northern New Mexico, you continue to teach, lecture, and publish across genres. Your work has been recognized with the Dayton Literary Peace Prize and a PEN Center USA Award.",Barbara Kingsolver,1
Nicole Krauss,"Born in 1976 in Brooklyn, New York, you grew up in a Jewish household and studied literature at Columbia before a Fulbright year in London. You began as a poet, then turned to novels that braid voices, letters, and memory. Your debut appeared in 2003; a second novel in 2006 broadened your audience, and a recent work deepens your preoccupations with diaspora, inheritance, and postwar history. Your fiction is noted for moral seriousness, formal elegance, and attention to how private lives intersect with events. You have received the Whiting Writers’ Award and the Rona Jaffe Foundation Writers’ Award, and you live in Brooklyn.",Nell Freudenberger,0
Andrea Levy,"You were born in 1958 in Hackney, London, to parents who migrated from Barbados in the post-war years. After studying graphic design and working in community arts, you began writing in your thirties. Your novels and stories chart the crossings between the Caribbean and Britain, attentive to class, race, and the legacies of empire. You favor polyphonic structures, measured wit, and close social detail, giving voice to ordinary lives. Earlier books traced second-generation experience in late-20th-century London; more recent work turns to 19th-century plantation history and its aftermath. You have received the Commonwealth Writers’ Prize for Best Book, and your work is widely taught.",Bernardine Evaristo,0
Alexander MacLeod,"Born in 1973 in Antigonish, Nova Scotia, you came of age on the Atlantic coast before studying literature at St. Francis Xavier and McGill, and completing graduate work at the University of Toronto. You now teach in Halifax, balancing scholarship with fiction that has appeared in leading Canadian journals. Your stories are marked by meticulous structure, clear-eyed moral attention, and an unsentimental focus on labour, family, and the body under pressure, often set between the Maritimes and industrial southern Ontario. A debut collection from a Canadian press has earned wide notice. Your work has been recognized with the Journey Prize and a National Magazine Award.",Alexander MacLeod,1
Tom McCarthy,"You were born in 1971 in Bristol, England. After reading English and philosophy at Cambridge, you settled in London, working in community radio and collaborating with artists on installations. Your fiction and criticism probe systems of communication, accident, and memory, fusing archival research with rigorous formal design. Technical vocabularies of engineering, finance, and telecommunications thread through your sentences, which favor recursion and precise cadence over confession. You have translated contemporary French theory and curated symposia linking literature to media archaeology. Your work has appeared in journals and galleries, and an early novel earned the Somerset Maugham Award, confirming your reputation in Britain’s experimental prose.",Tom McCarthy,1
Lorrie Moore,"You were born in 1958 in Rochester, New York. After earning a B.A. at SUNY Geneseo and an M.F.A. at Syracuse, you built a career in short fiction and the novel, publishing in The New Yorker, Harper’s, and other journals. Since the late 1980s you have taught at the University of Minnesota, where your workshops are exacting and generous. Your stories braid mordant humor with lyric precision, wordplay with moral restlessness, tracing the bruised comedy of love, family, and American solitude. You have received a Whiting Writers’ Award and a Guggenheim Fellowship, and your work remains a touchstone for younger writers and attentive readers.",Julie Schumacher,0
Sarah Selecky,"You were born in 1975 in Sudbury, Ontario. After studying English at Queen’s University and attending the Banff Centre’s Writing Studio, you settled in Toronto, where you teach and write. Your short fiction has appeared in The Walrus and The Malahat Review, noted for clear, exacting prose, measured humor, and close observation of friendship, class, and the rituals of everyday life. Your debut collection has brought national notice. Honors include being a finalist for the Journey Prize and longlisted for the Scotiabank Giller Prize. Your work is marked by restraint, moral nuance, and the quiet intensities of ordinary moments.",Pasha Malla,0
Lionel Shriver,"You were born in 1958 in Raleigh, North Carolina. After studying literature, you left the United States, spending long stretches in Dublin and Nairobi before making a home in London. Your novels probe uneasy domestic bonds and the unintended consequences of choice, often through coolly unsentimental narrators and meticulous social observation. A breakthrough book about parental ambivalence and violence brought a wide readership, cementing your reputation for moral rigor and provocation. You have published both journalism and fiction, favoring exacting prose over sentiment. For one of these novels, you received the Costa Novel Award.",Lionel Shriver,1
